Area(23 Markets),Country/Area(23 Markets),Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals,Year
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jun.,Tourism,31,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jul.,Tourism,"1,640",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Aug.,Tourism,388,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Sep.,Tourism,23,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Oct.,Tourism,50,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Nov.,Tourism,24,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Dec.,Tourism,20,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jan.,Tourism,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Feb.,Tourism,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Mar.,Tourism,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Apr.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,May,Tourism,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jun.,Tourism,49,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Jul.,Tourism,453,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Aug.,Tourism,186,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Sep.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Oct.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Nov.,Tourism,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Mexico,Dec.,Tourism,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jan.,Tourism,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Feb.,Tourism,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Mar.,Tourism,1,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Apr.,Tourism,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,May,Tourism,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jun.,Tourism,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Jul.,Tourism,847,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Aug.,Tourism,385,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Sep.,Tourism,73,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Oct.,Tourism,31,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Nov.,Tourism,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Middle East,Dec.,Tourism,15,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jan.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Feb.,Tourism,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Mar.,Tourism,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Apr.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,May,Tourism,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jun.,Tourism,46,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Jul.,Tourism,"1,565",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Aug.,Tourism,383,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Sep.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Oct.,Tourism,40,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Nov.,Tourism,28,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Nordic Countries,Dec.,Tourism,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jan.,Tourism,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Feb.,Tourism,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Mar.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Apr.,Tourism,13,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,May,Tourism,24,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jun.,Tourism,26,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Jul.,Tourism,"1,041",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Aug.,Tourism,550,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Sep.,Tourism,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Oct.,Tourism,84,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Nov.,Tourism,38,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Russia,Dec.,Tourism,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jan.,Tourism,1,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Feb.,Tourism,0,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Mar.,Tourism,5,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Apr.,Tourism,10,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,May,Tourism,54,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jun.,Tourism,44,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Jul.,Tourism,"1,341",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Aug.,Tourism,407,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Sep.,Tourism,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Oct.,Tourism,26,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Nov.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Spain,Dec.,Tourism,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jan.,Tourism,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Feb.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Mar.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Apr.,Tourism,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,May,Tourism,40,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jun.,Tourism,169,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Jul.,Tourism,"3,169",2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Aug.,Tourism,903,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Sep.,Tourism,41,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Oct.,Tourism,89,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Nov.,Tourism,76,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United Kingdom,Dec.,Tourism,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jan.,Tourism,130,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Feb.,Tourism,81,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Mar.,Tourism,81,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Apr.,Tourism,208,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,May,Tourism,287,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jun.,Tourism,414,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Jul.,Tourism,"4,614",2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Aug.,Tourism,935,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Sep.,Tourism,229,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Oct.,Tourism,422,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Nov.,Tourism,428,2021
Europe & Nordic Countries & Americas & Australia & Middle East,United States,Dec.,Tourism,164,2021
All,All,Jan.,Tourism,547,2021
All,All,Feb.,Tourism,266,2021
All,All,Mar.,Tourism,374,2021
All,All,Apr.,Tourism,740,2021
All,All,May,Tourism,"1,057",2021
All,All,Jun.,Tourism,"1,657",2021
All,All,Jul.,Tourism,"42,621",2021
All,All,Aug.,Tourism,"13,304",2021
All,All,Sep.,Tourism,"1,124",2021
All,All,Oct.,Tourism,"2,287",2021
All,All,Nov.,Tourism,"1,709",2021
All,All,Dec.,Tourism,701,2021
East Asia,China,Jan.,Others,"9,493",2021
East Asia,China,Feb.,Others,"1,506",2021
East Asia,China,Mar.,Others,"3,558",2021
East Asia,China,Apr.,Others,"2,865",2021
East Asia,China,May,Others,"1,509",2021
East Asia,China,Jun.,Others,"1,640",2021
East Asia,China,Jul.,Others,"1,463",2021
East Asia,China,Aug.,Others,"1,504",2021
East Asia,China,Sep.,Others,"3,509",2021
East Asia,China,Oct.,Others,"3,442",2021
East Asia,China,Nov.,Others,"2,619",2021
East Asia,China,Dec.,Others,"1,444",2021
East Asia,Hong Kong,Jan.,Others,121,2021
East Asia,Hong Kong,Feb.,Others,28,2021
East Asia,Hong Kong,Mar.,Others,47,2021
East Asia,Hong Kong,Apr.,Others,27,2021
East Asia,Hong Kong,May,Others,37,2021
East Asia,Hong Kong,Jun.,Others,36,2021
East Asia,Hong Kong,Jul.,Others,39,2021
East Asia,Hong Kong,Aug.,Others,30,2021
East Asia,Hong Kong,Sep.,Others,74,2021
East Asia,Hong Kong,Oct.,Others,76,2021
East Asia,Hong Kong,Nov.,Others,74,2021
East Asia,Hong Kong,Dec.,Others,49,2021
East Asia,South Korea,Jan.,Others,"1,874",2021
East Asia,South Korea,Feb.,Others,794,2021
East Asia,South Korea,Mar.,Others,"1,797",2021
East Asia,South Korea,Apr.,Others,904,2021
East Asia,South Korea,May,Others,785,2021
East Asia,South Korea,Jun.,Others,613,2021
East Asia,South Korea,Jul.,Others,693,2021
East Asia,South Korea,Aug.,Others,"1,183",2021
East Asia,South Korea,Sep.,Others,"1,917",2021
East Asia,South Korea,Oct.,Others,"1,574",2021
East Asia,South Korea,Nov.,Others,"1,582",2021
East Asia,South Korea,Dec.,Others,901,2021
East Asia,Taiwan,Jan.,Others,478,2021
East Asia,Taiwan,Feb.,Others,350,2021
East Asia,Taiwan,Mar.,Others,489,2021
East Asia,Taiwan,Apr.,Others,350,2021
East Asia,Taiwan,May,Others,266,2021
East Asia,Taiwan,Jun.,Others,242,2021
East Asia,Taiwan,Jul.,Others,255,2021
East Asia,Taiwan,Aug.,Others,278,2021
East Asia,Taiwan,Sep.,Others,304,2021
East Asia,Taiwan,Oct.,Others,296,2021
East Asia,Taiwan,Nov.,Others,297,2021
East Asia,Taiwan,Dec.,Others,231,2021
Southeast Asia & India,India,Jan.,Others,823,2021
Southeast Asia & India,India,Feb.,Others,609,2021
Southeast Asia & India,India,Mar.,Others,690,2021
Southeast Asia & India,India,Apr.,Others,523,2021
Southeast Asia & India,India,May,Others,409,2021
Southeast Asia & India,India,Jun.,Others,55,2021
Southeast Asia & India,India,Jul.,Others,79,2021
Southeast Asia & India,India,Aug.,Others,139,2021
Southeast Asia & India,India,Sep.,Others,436,2021
Southeast Asia & India,India,Oct.,Others,"1,406",2021
Southeast Asia & India,India,Nov.,Others,"1,486",2021
Southeast Asia & India,India,Dec.,Others,"1,175",2021
Southeast Asia & India,Indonesia,Jan.,Others,883,2021
Southeast Asia & India,Indonesia,Feb.,Others,178,2021
Southeast Asia & India,Indonesia,Mar.,Others,251,2021
Southeast Asia & India,Indonesia,Apr.,Others,176,2021
Southeast Asia & India,Indonesia,May,Others,256,2021
Southeast Asia & India,Indonesia,Jun.,Others,428,2021
Southeast Asia & India,Indonesia,Jul.,Others,211,2021
Southeast Asia & India,Indonesia,Aug.,Others,488,2021
Southeast Asia & India,Indonesia,Sep.,Others,487,2021
Southeast Asia & India,Indonesia,Oct.,Others,412,2021
Southeast Asia & India,Indonesia,Nov.,Others,640,2021
Southeast Asia & India,Indonesia,Dec.,Others,242,2021
Southeast Asia & India,Malaysia,Jan.,Others,150,2021
Southeast Asia & India,Malaysia,Feb.,Others,64,2021
Southeast Asia & India,Malaysia,Mar.,Others,93,2021
Southeast Asia & India,Malaysia,Apr.,Others,53,2021
Southeast Asia & India,Malaysia,May,Others,122,2021
Southeast Asia & India,Malaysia,Jun.,Others,72,2021
Southeast Asia & India,Malaysia,Jul.,Others,57,2021
Southeast Asia & India,Malaysia,Aug.,Others,72,2021
Southeast Asia & India,Malaysia,Sep.,Others,221,2021
Southeast Asia & India,Malaysia,Oct.,Others,198,2021
Southeast Asia & India,Malaysia,Nov.,Others,100,2021
Southeast Asia & India,Malaysia,Dec.,Others,48,2021
Southeast Asia & India,Philippines,Jan.,Others,861,2021
Southeast Asia & India,Philippines,Feb.,Others,210,2021
Southeast Asia & India,Philippines,Mar.,Others,189,2021
Southeast Asia & India,Philippines,Apr.,Others,185,2021
Southeast Asia & India,Philippines,May,Others,581,2021
Southeast Asia & India,Philippines,Jun.,Others,350,2021
Southeast Asia & India,Philippines,Jul.,Others,344,2021
Southeast Asia & India,Philippines,Aug.,Others,288,2021
Southeast Asia & India,Philippines,Sep.,Others,397,2021
Southeast Asia & India,Philippines,Oct.,Others,810,2021
Southeast Asia & India,Philippines,Nov.,Others,477,2021
Southeast Asia & India,Philippines,Dec.,Others,202,2021
Southeast Asia & India,Singapore,Jan.,Others,59,2021
Southeast Asia & India,Singapore,Feb.,Others,38,2021
Southeast Asia & India,Singapore,Mar.,Others,53,2021
Southeast Asia & India,Singapore,Apr.,Others,21,2021
Southeast Asia & India,Singapore,May,Others,22,2021
Southeast Asia & India,Singapore,Jun.,Others,20,2021
Southeast Asia & India,Singapore,Jul.,Others,29,2021
Southeast Asia & India,Singapore,Aug.,Others,36,2021
Southeast Asia & India,Singapore,Sep.,Others,54,2021
Southeast Asia & India,Singapore,Oct.,Others,22,2021
Southeast Asia & India,Singapore,Nov.,Others,43,2021
Southeast Asia & India,Singapore,Dec.,Others,34,2021
Southeast Asia & India,Thailand,Jan.,Others,493,2021
Southeast Asia & India,Thailand,Feb.,Others,84,2021
Southeast Asia & India,Thailand,Mar.,Others,131,2021
Southeast Asia & India,Thailand,Apr.,Others,137,2021
Southeast Asia & India,Thailand,May,Others,175,2021
Southeast Asia & India,Thailand,Jun.,Others,128,2021
Southeast Asia & India,Thailand,Jul.,Others,91,2021
Southeast Asia & India,Thailand,Aug.,Others,83,2021
Southeast Asia & India,Thailand,Sep.,Others,110,2021
Southeast Asia & India,Thailand,Oct.,Others,154,2021
Southeast Asia & India,Thailand,Nov.,Others,182,2021
Southeast Asia & India,Thailand,Dec.,Others,138,2021
Southeast Asia & India,Vietnam,Jan.,Others,"19,963",2021
Southeast Asia & India,Vietnam,Feb.,Others,190,2021
Southeast Asia & India,Vietnam,Mar.,Others,224,2021
Southeast Asia & India,Vietnam,Apr.,Others,319,2021
Southeast Asia & India,Vietnam,May,Others,404,2021
